Team,Scored,Allowed,Count,"Succ. rate"
"ANAHEIM DUCKS",5,3,27,0.0741
"ARIZONA COYOTES",8,5,30,0.1
"BOSTON BRUINS",8,1,29,0.2414
"BUFFALO SABRES",8,6,25,0.08
"CALGARY FLAMES",5,3,23,0.087
"CAROLINA HURRICANES",16,8,37,0.2162
"CHICAGO BLACKHAWKS",7,2,22,0.2273
"COLORADO AVALANCHE",9,4,29,0.1724
"COLUMBUS BLUE JACKETS",5,3,23,0.087
"DALLAS STARS",5,1,22,0.1818
"DETROIT RED WINGS",13,3,28,0.3571
"EDMONTON OILERS",11,1,28,0.3571
"FLORIDA PANTHERS",10,8,30,0.0667
"LOS ANGELES KINGS",9,6,26,0.1154
"MINNESOTA WILD",9,4,30,0.1667
"MONTREAL CANADIENS",6,4,19,0.1053
"NASHVILLE PREDATORS",3,3,23,0
"NEW JERSEY DEVILS",5,5,22,0
"NEW YORK ISLANDERS",3,3,23,0
"NEW YORK RANGERS",12,2,22,0.4545
"OTTAWA SENATORS",8,4,22,0.1818
"PHILADELPHIA FLYERS",6,3,21,0.1429
"PITTSBURGH PENGUINS",16,5,35,0.3143
"SAN JOSE SHARKS",7,5,27,0.0741
"ST. LOUIS BLUES",7,6,24,0.0417
"TAMPA BAY LIGHTNING",16,4,27,0.4444
"TORONTO MAPLE LEAFS",7,6,34,0.0294
"VANCOUVER CANUCKS",6,3,25,0.12
"VEGAS GOLDEN KNIGHTS",9,0,24,0.375
"WASHINGTON CAPITALS",9,6,31,0.0968
"WINNIPEG JETS",10,8,28,0.0714
